Designator,Mid X,Mid Y,Rotation,Layer
C1,14.097,32.893,180.0,top
C10,7.493,31.242,0.0,top
C11,11.938,10.795,90.0,top
C12,5.969,11.049,90.0,top
C2,11.811,32.893,180.0,top
C3,8.636,32.893,180.0,top
C4,6.35,32.893,180.0,top
C5,14.986,30.099,180.0,top
C6,4.572,11.684,270.0,top
C7,4.445,22.479,90.0,top
C8,14.5288,21.1328,270.0,top
C9,14.986,29.083,0.0,top
D1,14.351,10.16,180.0,top
D2,5.334,39.624,90.0,top
FB1,5.715,30.734,270.0,top
J1,10.16,5.091,0.0,top
J2,10.162,45.746,180.0,top
LED1,13.462,31.369,180.0,top
Q1,12.38,38.1785,90.0,top
Q2,8.89,39.624,270.0,top
R1,5.08,20.955,0.0,top
R10,15.113,39.751,180.0,top
R11,4.191,44.958,90.0,top
R2,15.24,12.065,90.0,top
R3,15.494,31.496,270.0,top
R4,4.191,3.81,90.0,top
R5,16.129,3.81,90.0,top
R6,12.192,40.8432,0.0,top
R7,15.113,37.592,270.0,top
R8,16.129,46.99,270.0,top
R9,4.191,46.99,90.0,top
SW1,7.112,15.113,0.0,top
SW2,13.208,15.113,180.0,top
U1,10.16,25.4,180.0,top
U2,9.0225,11.049,90.0,top
XTAL1,12.954,34.544,180.0,top
XTAL2,7.493,35.306,0.0,top
